NP_001001474.1	guanine nucleotide-binding protein G(s) alpha subunit
NP_001001475.1	guanine nucleotide-binding protein G(i) alpha subunit
NP_001001476.1	guanine nucleotide-binding protein G(12) alpha subunit
NP_001001768.2	hairy and enhancer of split
NP_001003798.1	alpha-2,6-sialyltransferase
NP_001005725.1	GATA transcription factor e
NP_001009577.1	homeobox transcription factor Nk1
NP_001011728.2	putative ISG12 protein
NP_001012720.1	hedgehog precursor
NP_001012721.1	histamine H1 receptor
NP_001014426.1	histone H2A, embryonic
NP_001015510.1	major octamer-binding protein
NP_001020380.1	soluble adenylyl cyclase
NP_001020382.1	translation elongation factor 1B gamma subunit
NP_001020384.1	steroid hormone receptor 3
NP_001027540.1	homeobox protein OTX isoform beta
NP_001027541.1	homeobox protein OTX isoform beta
NP_001027542.1	delta protein
NP_001027543.1	beta-catenin
NP_001028179.1	recombination activating protein 1-like
NP_001028182.1	hyperpolarization-gated and cyclic nucleotide regulated channel
NP_001028184.1	recombination activating protein 2-like
NP_001028696.1	cyclin B
NP_001028819.1	cyclophilin 1 precursor
NP_001028820.1	matrix metalloproteinase 16 precursor
NP_001028821.1	testis secretory pathway calcium transporting ATPase
NP_001028822.1	sperm plasma membrane calcium transporting ATPase
NP_001028823.1	matrix metalloproteinase 14 precursor
NP_001029121.1	sperm phosphodiesterase 5
NP_001029122.1	egg permeability glycoprotein
NP_001032234.2	actin, cytoskeletal 1B
NP_001032400.1	sulfotransferase
NP_001032719.1	sarco/endoplasmic reticulum calcium transporting ATPase
NP_001035104.1	uncharacterized protein LOC574826
NP_001035495.1	activator of G-protein signal
NP_001073008.1	amassin-2 precursor
NP_001073009.1	transmembrane protein 16
NP_001073010.1	forkhead transcription factor A
NP_001073011.1	amassin 4 precursor
NP_001073012.1	amassin-3 precursor
NP_001073013.1	forkhead transcription factor J1
NP_001073014.1	colmedin
NP_001073015.1	lysyl oxidase-like 2 precursor
NP_001073016.1	185/333 family member precursor
NP_001073019.1	sodium bicarbonate cotransporter
NP_001073021.1	Blimp1/Krox1b isoform 1
NP_001073022.2	DD185 protein, upregulated upon bacterial challenge and trauma precursor
NP_001073023.1	nanos 2
NP_001073024.1	neurotrophin 5
NP_001073025.1	forkhead transcription factor X
NP_001073026.1	uncharacterized protein LOC753087 precursor
NP_001074439.1	uncharacterized protein LOC588748
NP_001075433.1	tetrameric potassium-selective cyclic nucleotide gated channel
NP_001075434.1	receptor for egg jelly protein precursor
NP_001075435.1	uncharacterized protein LOC577345
NP_001075436.1	sperm adenylate kinase
NP_001075437.1	receptor for egg jelly 8 precursor
NP_001075438.1	receptor for egg jelly protein 10 precursor
NP_001077102.1	uncharacterized protein LOC575773
NP_001077103.1	uncharacterized protein LOC752411
NP_001091915.2	receptor for egg jelly 7 precursor
NP_001091916.1	eukaryotic initiation factor 4a
NP_001091917.1	polyA-binding protein
NP_001091918.1	phosphodiesterase 1
NP_001091919.1	nodal precursor
NP_001091920.1	dual serine/threonine and tyrosine protein kinase
NP_001091921.1	receptor for egg jelly 5
NP_001091922.1	protein O-fucosyltransferase 1 precursor
NP_001091923.1	uncharacterized protein LOC590209
NP_001091924.1	secreted protein, acidic, cysteine-rich precursor
NP_001091926.1	eukaryotic translation initiation factor 4E family member 3
NP_001091927.1	sperm-specific sodium proton exchanger precursor
NP_001091928.1	eukaryotic translation initiation factor 4E
NP_001091929.1	dickkopf-1 precursor
NP_001091930.1	receptor for egg jelly 6 precursor
NP_001099179.1	twist
NP_001103714.2	ADP-ribosyl cyclase precursor
NP_001103715.1	chordin precursor
NP_001103716.1	ADP-ribosyl cyclase precursor
NP_001103717.1	bursicon subunit beta-related polypeptide precursor
NP_001103718.1	ADP-ribosyl cyclase
NP_001103719.1	bursicon subunit alpha-related polypeptide precursor
NP_001106707.1	solute carrier family 12 (sodium/potassium/chloride transporters), member 2
NP_001107668.1	uncharacterized protein LOC583541
NP_001107669.1	advillin
NP_001116967.1	rab3 GTPase
NP_001116968.1	orphan steroid hormone receptor 2
NP_001116969.1	elongation factor 1 alpha
NP_001116970.1	40S ribosomal protein SA
NP_001116971.1	putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1
NP_001116972.1	protein Wnt-1 precursor
NP_001116973.1	methionine adenosyltransferase
NP_001116974.1	ATP synthase beta subunit
NP_001116975.1	GTPase homolog
NP_001116977.1	bone morphogenetic protein BMP2/4 precursor
NP_001116978.1	fructose-bisphosphate aldolase
NP_001116979.1	histone H2a-beta
NP_001116980.1	histone H2A.V
NP_001116981.1	triosephosphate isomerase
NP_001116982.1	sodium/potassium ATPase alpha subunit
NP_001116983.1	rab7 GTPase homolog SUrab7
NP_001116984.1	rab11 GTPase homolog SUrab11p
NP_001116985.2	NAD(P) transhydrogenase
NP_001116986.1	mesenchyme-specific cell surface glycoprotein precursor
NP_001116989.1	major vault protein
NP_001116990.1	gonadotropin-releasing hormone receptor 1
NP_001116991.1	gonadotropin-releasing hormone receptor 3
NP_001116992.1	gonadotropin-releasing hormone receptor 2
NP_001116993.1	GnRH-like tetrapeptide precursor
NP_001118229.1	tetraspanin
NP_001118232.1	translation elongation factor 1B beta subunit
NP_001118233.1	syndecan precursor
NP_001118234.1	amoeboid myosin I
NP_001118235.1	voltage dependent calcium channel L-type
NP_001118236.1	fibroblast growth factor
NP_001118237.1	dual oxidase 1 precursor
NP_001118238.1	bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase
NP_001119596.2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 precursor
NP_001119777.1	actin, muscle
NP_001119778.1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
NP_001119779.1	voltage-gated proton channel
NP_001119780.1	cytidine monophospho-N-acetylneuraminic acid synthetase
NP_001119781.1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 8
NP_001119782.1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 9
NP_001121538.1	soluble epoxide hydrolase-like protein 1
NP_001121539.1	soluble epoxide hydrolase-like protein 2
NP_001121540.1	activin B
NP_001123278.1	nuclear factor, erythroid derived 2
NP_001123279.1	Ecr/Fxr protein
NP_001123280.1	T-box 2/3 protein
NP_001123281.1	lefty precursor
NP_001123282.1	distal-less homeobox
NP_001123283.1	NK2 homeodomain protein
NP_001123284.1	forkhead transcription factor G
NP_001123285.1	iroquois homeobox A
NP_001123286.1	hepatic leukemia factor
NP_001123287.1	E2F transcription factor 3
NP_001123288.3	telomerase reverse transcriptase-long isoform 2
NP_001124190.1	argonaute 1
NP_001135850.1	uncharacterized protein LOC577155
NP_001135851.1	src family kinase 7
NP_001135853.2	src family kinase 5
NP_001138446.2	two-pore calcium channel 1 isoform 1
NP_001138447.1	glass
NP_001138448.1	two-pore calcium channel 2
NP_001138449.1	two-pore calcium channel 3
NP_001138965.1	glypican-6 precursor
NP_001138966.1	glypican-5 precursor
NP_001139665.1	vasa protein
NP_001139666.1	sodium-dependent alanine transporter 3
NP_001139667.1	sodium-dependent alanine transporter 2
NP_001154909.1	extracellular transglutaminase
NP_001154910.1	NAD kinase
NP_001154911.1	transglutaminase, nuclear
NP_001157279.1	mannosyl-oligosaccharide glucosidase
NP_001159462.1	synaptotagmin I
NP_001164286.1	fertilization envelope protein 1 precursor
NP_001164287.1	Ste20-like protein kinase
NP_001164288.1	strongylocin 1 precursor
NP_001164289.2	strongylocin 2 precursor
NP_001165523.1	Fibroblast growth factor receptor-like 1 precursor
NP_001171981.1	Rho kinase
NP_001186878.1	RNA granule protein invertebrate
NP_001189420.1	Kruppel-like factor 7
NP_001191242.1	ankyrin-containing gene specific for apical tuft-1
NP_001229579.1	ribosomal protein L36
NP_001229580.1	ribosomal protein S14
NP_001229581.1	enoyl CoA hydratase, short chain, 1, mitochondrial
NP_001229582.1	ras homolog gene family, member
NP_001229584.1	Rho GDP dissociation inhibitor (GDI)
NP_001229589.1	transketolase
NP_001229590.1	aarF domain containing kinase 2-like
NP_001229591.1	diphthine synthase
NP_001229593.1	ribosomal protein L21-like
NP_001229594.1	enoyl CoA hydratase 1, peroxisomal-like
NP_001229595.1	small nuclear ribonucleoprotein polypeptide E-like
NP_001229596.1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)-like
NP_001229598.1	C-4 methylsterol oxidase-like
NP_001229606.1	adenylate kinase 3-like
NP_001229607.1	cell division cycle 42 (GTP binding protein, 25kDa)-like
NP_001229608.1	ras homolog gene family, member C-like
NP_001229612.1	uncharacterized protein LOC585781
NP_001229613.1	cysteine synthase-like
NP_001229614.1	3-oxoacyl-acyl-carrier-protein reductase-like
NP_001229615.1	histone H2B-like
NP_001229616.1	proteasome 26S subunit subunit 4 ATPase-like
NP_001229617.1	adenylate kinase 2, mitochondrial-like
NP_001229618.1	uncharacterized protein LOC578025
NP_001229623.1	UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)-like
NP_001229629.1	fibropellin-1 precursor
NP_001229632.1	hatching enzyme precursor
NP_001232900.1	anoctamin-10
NP_001232902.1	anoctamin-7
NP_001239013.1	polyketide synthase 2
NP_001242990.1	ornithine decarboxylase antizyme 1
NP_001243005.1	ADP-ribosyl cyclase isoform 4
NP_001268680.1	ATP-binding cassette, sub-family B (MDR/TAP), member 4
NP_001268681.1	zinc finger protein 764-like
NP_001268682.1	glycoprotein hormone alpha-2 precursor
NP_001268683.1	glycoprotein hormone beta-5-like precursor
NP_001268684.1	SIX homeobox 1
NP_001268685.1	uncharacterized LOC586619
NP_001268686.1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 7
NP_001268687.1	glycoprotein hormone alpha-2 precursor
NP_001268688.1	ATP-binding cassette sub-family C member 9
NP_001268689.1	ATP-binding cassette transporter subfamily C member 5a
